wrong,correct
คอนซัลแทนท์,คอนซัลแทนต์
โน๊ต,โน้ต
คลอลาเจน,คอลลาเจน
ความรั,ความรัก
ความรุ้สึก,ความรู้สึก
คอนแทคเลนส์,คอนแทกเลนส์
คอนแทนเลนส์,คอนแทกเลนส์
ดีย,ดี
พาร์ทไทม์,พาร์ตไทม์
ออน์ไลน์,ออนไลน์
ทรีทเม้นท์,ทรีตเมนต์
บลอกเกอร์,บล็อกเกอร์
ออร์แกนิค,ออร์แกนิก
พรีออร์เดอร์,พรีออเดอร์
ฟอล,ฟอลโลว์
ฟู๊ด,ฟู้ด
ยิ๊ม,ยิ้ม
รีทวิต,รีทวิต
รูมเมต,รูมเมท
วงวาร,สงสาร
สนูปปี,สนูปปี้
สมอล์ทอร์ค,สมอลทอล์ค
สลิปปิง,สลีปปิ้ง
สเตียรอย,สเตียรอยด์
สเปลลิง,สเปลลิ่ง
สแตนดี,สแตนดี้
#สแว๊กแก๊ก,สแว็กแก๊ก
เลสเบี้ยน,เลสเบี้ยน
คัต,คัท
อีเว้นท์,อีเวนต์
เกี้ยวกุ้ง,เกี๊ยวกุ้ง
เครื่องสำอางค์,เครื่องสำอาง
เซรัม,เซรั่ม
เซ็กซี,เซ็กซี่
เทกนิก,เทคนิค
เพนต์,เพ้นท์
เฟรชชี,เฟรชชี่
เฟอร์เฟค,เพอร์เฟกต์
เรตติง,เรตติ้ง
เรื้องสั้น,เรื่องสั้น
เลสเบียน,เลสเบี้ยน
เวิร์คชอป,เวิร์กชอป
เวิร์คช็อป,เวิร์กชอป
แคปชัน,แคปชั่น
แจ็กพอต,แจ็คพอต
แซลม่อน,แซลม่อน
แฟชัน,แฟชั่น
แฮร์รี้,แฮร์รี่
แฮร์โทนิค,แฮร์โทนิก
โน๊ต,โน้ต
โปรโมชั่น,โปรโมชั่น
โพลารอยด์,โพลาลอยด์
โฟโตการ์ด,โฟโต้การ์ด
โมเม้น,โมเมนต์
โลชัน,โลชั่น
โลชันน้ำหอม,โลชั่นน้ำหอม
โล๊ะตู้,โละตู้
ไดอารี,ไดอารี่
ไบโพล่าร์,ไบโพลาร์
มหาลัย,มหาวิทยาลัย
กกระทบ,กระทบ
กก็,ก็
กคือ,คือ
กงนี้,ตรงนี้
กงศุล,กงสุล
กงุ่ม,กลุ่ม
กงเล็บ,กรงเล็บ
กงเหล้า,ก๊งเหล้า
กชิ่น,กลิ่น
กฏ,กฎ
กฏหมาย,กฎหมาย
กฏหาย,กฎหมาย
กฏเกณฑ์,กฎเกณฑ์
กดึง,ดึง
กด้,ได้
กติ,ปกติ
กนะเป๋า,กระเป๋า
กนะเป๋าสะพาย,กระเป๋าสะพาย
กน้า,หน้า
กบน,บน
กบับ,กลับ
กบุ่ม,กลุ่ม
สันดาล,สันดาน
กรมสรรพกร,กรมสรรพากร
กรรมพันธ์,กรรมพันธุ์
กรรมหนด,กำหนด
กระจุ๊กกระจิ๊ก,กระจุกกระจิก
กระชับกระเชง,กระฉับกระเฉง
กระชุ่มกระช่วย,กระชุ่มกระชวย
กระดับ,ระดับ
กระดาษทิชชู,กระดาษทิชชู่
กระดาษโน๊ต,กระดาษโน้ต
กระดาษโฟโต,กระดาษโฟโต้
กระดู,กระดูก
กระตือรือล้น,กระตือรือร้น
กระตือลือล้น,กระตือรือร้น
กระตุ่ย,กระต่าย
กระต่าง,กระจ่าง
กระทรง,กระทรวง
กระทรงศึกษาธิการ,กระทรวงศึกษาธิการ
กระทรอบทราย,กระสอบทราย
กระทั้ง,กระทั่ง
กระนุ้งกระนิ้ง,กระหนุงกระหนิง
กระบาน,กบาล
กระบ๋อง,กระป๋อง
กระปุ้กกระปิ้ก,กระปุ๊กกระปิ๊ก
กระมั้ง,กระมัง
กระสัย,กษัย
กระหรี่,กะหรี่
กระอักเลือก,กระอักเลือด
กระอีก,กระอัก
